AllNaturalDisasters,Drought,Earthquake,ExtremeTemperature,ExtremeWeather,Flood,Impact,Landslide,MassMovementDry,VolcanicActivity,Wildfire,Year
5,2,null,null,1,1,null,null,null,1,null,1900
2,null,2,null,null,null,null,null,null,null,null,1901
9,null,3,null,1,null,null,null,null,5,null,1902
8,1,1,null,2,2,null,null,1,1,null,1903
2,null,1,null,1,null,null,null,null,null,null,1904
4,null,2,null,1,null,null,null,1,null,null,1905
17,1,10,null,3,2,null,null,null,1,null,1906
5,null,5,null,null,null,null,null,null,null,null,1907
4,null,3,null,null,null,null,null,1,null,null,1908
11,null,3,null,5,1,null,1,null,1,null,1909
15,9,3,null,1,1,null,null,1,null,null,1910
5,null,null,null,2,1,null,null,null,1,1,1911
7,null,2,null,5,null,null,null,null,null,null,1912
5,null,4,null,1,null,null,null,null,null,null,1913
6,null,4,null,1,null,null,null,null,1,null,1914
7,null,3,null,2,1,null,null,1,null,null,1915
2,null,1,null,1,null,null,null,null,null,null,1916
6,null,3,null,2,1,null,null,null,null,null,1917
7,null,5,null,1,null,null,null,null,null,1,1918
4,1,null,null,2,null,null,null,null,1,null,1919
7,2,3,null,1,1,null,null,null,null,null,1920
2,1,1,null,null,null,null,null,null,null,null,1921
6,null,2,null,2,null,null,1,null,null,1,1922
12,null,5,null,6,null,null,1,null,null,null,1923
4,null,2,null,2,null,null,null,null,null,null,1924
6,null,2,null,3,1,null,null,null,null,null,1925
15,null,1,null,7,4,null,2,null,1,null,1926
12,null,6,null,4,2,null,null,null,null,null,1927
17,1,7,null,7,2,null,null,null,null,null,1928
6,null,2,null,2,null,null,null,null,1,1,1929
14,null,7,null,4,1,null,1,null,1,null,1930
12,1,4,null,4,1,null,1,null,1,null,1931
8,null,2,null,5,null,null,1,null,null,null,1932
10,1,4,null,3,2,null,null,null,null,null,1933
9,null,4,null,4,null,null,1,null,null,null,1934
11,null,3,null,7,1,null,null,null,null,null,1935
11,null,2,2,5,1,null,1,null,null,null,1936
7,null,null,null,3,2,null,null,1,1,null,1937
7,null,2,null,2,2,null,1,null,null,null,1938
11,null,6,null,2,2,null,null,null,null,1,1939
17,9,4,null,3,1,null,null,null,null,null,1940
5,null,2,null,2,null,null,1,null,null,null,1941
9,1,5,null,3,null,null,null,null,null,null,1942
12,1,5,null,3,2,null,null,null,1,null,1943
12,null,4,null,5,null,null,null,null,1,2,1944
12,null,4,null,7,null,null,null,null,1,null,1945
15,1,8,null,5,null,null,null,null,1,null,1946
12,1,2,null,7,1,null,null,null,null,1,1947
23,null,5,null,10,5,null,2,null,1,null,1948
20,null,6,null,8,2,null,1,null,2,1,1949
23,null,4,null,7,10,null,1,null,1,null,1950
27,null,3,2,11,7,null,1,null,3,null,1951
24,null,8,null,10,4,null,1,null,1,null,1952
34,null,7,3,11,12,null,null,null,1,null,1953
33,null,5,null,10,9,null,8,null,1,null,1954
30,null,4,1,19,3,null,2,1,null,null,1955
36,null,6,null,14,9,null,5,null,1,1,1956
29,null,8,null,9,11,null,null,null,1,null,1957
23,null,4,2,13,3,null,1,null,null,null,1958
33,null,3,null,16,13,null,1,null,null,null,1959
40,1,9,null,20,7,null,2,null,1,null,1960
28,1,2,1,14,8,null,2,null,null,null,1961
28,null,3,1,13,8,null,2,1,null,null,1962
41,1,3,2,21,8,null,2,1,3,null,1963
60,7,7,null,22,22,null,1,null,1,null,1964
61,7,7,1,19,19,null,5,1,1,1,1965
80,9,11,2,28,23,null,4,null,2,1,1966
70,5,10,null,25,26,null,2,null,null,2,1967
77,7,14,2,25,20,null,4,null,2,3,1968
62,10,8,null,25,14,null,1,null,2,2,1969
77,2,11,null,24,31,null,5,1,null,3,1970
